millis,stamp,datetime,soilmoisture
6664998, 1565961060, 2019/8/16 13:11:0, 628
6695999, 1565961060, 2019/8/16 13:11:0, 628
6727000, 1565961060, 2019/8/16 13:11:0, 629
6757998, 1565961060, 2019/8/16 13:11:0, 629
6788999, 1565961060, 2019/8/16 13:11:0, 628
6819998, 1565961060, 2019/8/16 13:11:0, 628
6851000, 1565961060, 2019/8/16 13:11:0, 629
6881999, 1565961060, 2019/8/16 13:11:0, 629
6912999, 1565961060, 2019/8/16 13:11:0, 628
6943998, 1565961060, 2019/8/16 13:11:0, 629
6974999, 1565961060, 2019/8/16 13:11:0, 629
7005999, 1565961060, 2019/8/16 13:11:0, 629
7036999, 1565961060, 2019/8/16 13:11:0, 629
7068000, 1565961060, 2019/8/16 13:11:0, 628
7098998, 1565961060, 2019/8/16 13:11:0, 628
7130000, 1565961060, 2019/8/16 13:11:0, 629
7160998, 1565961060, 2019/8/16 13:11:0, 629
7191999, 1565961060, 2019/8/16 13:11:0, 629
7222999, 1565961060, 2019/8/16 13:11:0, 629
7253999, 1565961060, 2019/8/16 13:11:0, 629
7285000, 1565961060, 2019/8/16 13:11:0, 629
7315999, 1565961060, 2019/8/16 13:11:0, 629
7346999, 1565961060, 2019/8/16 13:11:0, 629
7377998, 1565961060, 2019/8/16 13:11:0, 629
7408999, 1565961060, 2019/8/16 13:11:0, 629
7440000, 1565961060, 2019/8/16 13:11:0, 629
7470999, 1565961060, 2019/8/16 13:11:0, 629
7501999, 1565961060, 2019/8/16 13:11:0, 629
7532998, 1565961060, 2019/8/16 13:11:0, 629
7564000, 1565961060, 2019/8/16 13:11:0, 629
7594999, 1565961060, 2019/8/16 13:11:0, 629
7625999, 1565961060, 2019/8/16 13:11:0, 630
7656998, 1565961060, 2019/8/16 13:11:0, 629
7687999, 1565961060, 2019/8/16 13:11:0, 629
7718999, 1565961060, 2019/8/16 13:11:0, 630
7750000, 1565961060, 2019/8/16 13:11:0, 629
7781000, 1565961060, 2019/8/16 13:11:0, 629
7811998, 1565961060, 2019/8/16 13:11:0, 630
7843000, 1565961060, 2019/8/16 13:11:0, 629
7873999, 1565961060, 2019/8/16 13:11:0, 630
7905000, 1565961060, 2019/8/16 13:11:0, 630
7935998, 1565961060, 2019/8/16 13:11:0, 630
7966999, 1565961060, 2019/8/16 13:11:0, 630
7997999, 1565961060, 2019/8/16 13:11:0, 630
8028998, 1565961060, 2019/8/16 13:11:0, 630
8059999, 1565961060, 2019/8/16 13:11:0, 630
8090999, 1565961060, 2019/8/16 13:11:0, 630
8122000, 1565961060, 2019/8/16 13:11:0, 630
8152998, 1565961060, 2019/8/16 13:11:0, 630
8183999, 1565961060, 2019/8/16 13:11:0, 630
8215000, 1565961060, 2019/8/16 13:11:0, 630
8246000, 1565961060, 2019/8/16 13:11:0, 630
8276999, 1565961060, 2019/8/16 13:11:0, 630
8307998, 1565961060, 2019/8/16 13:11:0, 630
8338999, 1565961060, 2019/8/16 13:11:0, 630
8369998, 1565961060, 2019/8/16 13:11:0, 630
8401000, 1565961060, 2019/8/16 13:11:0, 630
8432000, 1565961060, 2019/8/16 13:11:0, 630
8462999, 1565961060, 2019/8/16 13:11:0, 630
8493999, 1565961060, 2019/8/16 13:11:0, 630
8524999, 1565961060, 2019/8/16 13:11:0, 631
8556000, 1565961060, 2019/8/16 13:11:0, 631
8586998, 1565961060, 2019/8/16 13:11:0, 630
8617999, 1565961060, 2019/8/16 13:11:0, 630
8648998, 1565961060, 2019/8/16 13:11:0, 631
8679999, 1565961060, 2019/8/16 13:11:0, 631
8711000, 1565961060, 2019/8/16 13:11:0, 630
8742000, 1565961060, 2019/8/16 13:11:0, 630
8772999, 1565961060, 2019/8/16 13:11:0, 631
8803998, 1565961060, 2019/8/16 13:11:0, 630
8834999, 1565961060, 2019/8/16 13:11:0, 631
8865999, 1565961060, 2019/8/16 13:11:0, 631
8896999, 1565961060, 2019/8/16 13:11:0, 631
8927998, 1565961060, 2019/8/16 13:11:0, 630
8958999, 1565961060, 2019/8/16 13:11:0, 631
8990000, 1565961060, 2019/8/16 13:11:0, 631
9020999, 1565961060, 2019/8/16 13:11:0, 631
9051999, 1565961060, 2019/8/16 13:11:0, 631
9082999, 1565961060, 2019/8/16 13:11:0, 630
9114000, 1565961060, 2019/8/16 13:11:0, 631
9144999, 1565961060, 2019/8/16 13:11:0, 631
9175999, 1565961060, 2019/8/16 13:11:0, 630
9207000, 1565961060, 2019/8/16 13:11:0, 631
9238000, 1565961060, 2019/8/16 13:11:0, 631
9268999, 1565961060, 2019/8/16 13:11:0, 631
9299998, 1565961060, 2019/8/16 13:11:0, 631
9330999, 1565961060, 2019/8/16 13:11:0, 631
9361998, 1565961060, 2019/8/16 13:11:0, 631
9393000, 1565961060, 2019/8/16 13:11:0, 631
9424000, 1565961060, 2019/8/16 13:11:0, 631
9454999, 1565961060, 2019/8/16 13:11:0, 631
9485999, 1565961060, 2019/8/16 13:11:0, 631
9516998, 1565961060, 2019/8/16 13:11:0, 631
9548000, 1565961060, 2019/8/16 13:11:0, 631
9578998, 1565961060, 2019/8/16 13:11:0, 631
9609999, 1565961060, 2019/8/16 13:11:0, 631
